"uniqueID","earnings","numCheats"
"1020141",5.5,5
"1020153",3.5,3
"1020162",5.5,5
"1020163",5.5,5
"1020171",9.5,3
"1020173",5.5,5
"1120141",4,1
"1120153",3,3
"1120162",3,3
"1120163",3,3
"420153",2.5,0
"1120171",0.5,3
"820153",7.5,4
"220153",7.5,4
"1220163",2.5,5
"1420141",8.5,5
"2420163",5.5,5
"1920153",0,0
"920163",5.5,5
"620171",14.5,5
"2520162",1.5,4
"220141",8.5,5
"1420153",5,0
"1620141",1.5,4
"2520163",1.5,4
"520141",2.5,5
"2120171",8.5,5
"2820163",4.5,4
"720173",3.5,3
"2320153",8.5,5
"820171",11.5,5
"220163",5.5,5
"1420171",1.5,4
"1420173",7.5,4
"920162",5.5,5
"120153",1.5,4
"620153",11.5,5
"120141",2.5,5
"720162",2,2
"220173",6,3
"620162",4.5,4
"1520162",5.5,5
"1220153",0,0
"120173",8.5,5
"1420162",8.5,5
"320171",8.5,5
"720153",5,0
"2020141",-0.5,2
"1320173",-0.5,2
"1320163",5.5,5
